cell_id,insta_advertising,insta_beverage,insta_car,insta_entertainment,insta_family,insta_fashion,insta_food,insta_interiors,insta_landscape,insta_monochrome,insta_nature,insta_portait,insta_sky,insta_sports
50405,0,0,0,0,0,0,0,1,0,0,0,0,0,0
50409,5,7,4,4,1,8,3,2,3,8,19,15,1,4
50410,0,0,1,0,1,1,0,1,0,1,0,1,0,0
50411,0,0,3,0,0,0,0,0,0,0,0,0,0,0
50418,0,0,0,0,0,0,0,1,0,1,0,0,0,0
50672,0,0,0,0,0,0,0,0,2,0,0,1,0,0
50748,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50755,0,0,1,0,0,0,1,1,0,0,0,0,0,1
50770,0,1,0,0,3,0,0,3,0,0,2,0,3,0
50777,3,0,0,0,0,4,2,1,0,0,0,10,0,1
50778,0,0,0,1,0,0,0,0,0,0,0,0,0,0
50781,1,0,2,0,0,0,8,0,0,1,0,1,0,0
50782,0,0,0,0,0,4,2,0,0,0,1,7,3,0
50783,5,0,1,6,0,4,1,4,0,3,0,4,0,1
50786,0,0,0,0,1,0,0,0,0,0,1,0,0,0
50790,0,0,0,0,0,0,0,0,0,0,0,0,1,0
51118,2,0,1,3,0,2,0,1,0,1,0,2,0,8
51124,0,0,1,0,0,0,0,0,0,0,0,0,0,0
51126,0,0,2,0,0,0,0,1,0,1,1,1,1,6
51129,0,0,0,0,0,0,0,0,1,0,0,0,0,0
51134,0,0,0,0,0,1,0,1,0,0,0,0,0,0
51151,4,0,0,1,3,4,3,1,0,1,1,0,1,4
51152,0,0,0,0,0,0,2,0,0,0,0,0,0,0
51153,0,3,2,1,0,1,3,2,0,3,3,6,0,1
51155,0,0,0,0,1,2,0,1,0,4,2,2,2,0
51160,0,0,0,0,2,0,0,0,0,0,0,0,0,0
51420,0,0,0,0,0,0,0,0,5,0,3,0,1,0
51483,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51485,2,1,7,2,6,13,1,3,4,1,2,2,6,2
51494,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51521,0,0,10,0,0,1,0,1,0,0,1,0,2,7
51522,1,0,0,0,0,2,0,0,0,0,0,0,0,6
51523,5,1,0,0,1,8,0,1,0,2,0,28,0,3
51541,0,0,0,0,1,0,0,0,0,0,0,0,0,0
51545,1,0,0,0,1,0,1,0,0,1,0,0,0,2
51798,0,0,0,0,0,1,0,0,1,2,0,4,1,4
51826,0,0,0,0,0,1,0,0,5,0,0,1,0,0
51837,0,0,0,1,2,0,0,0,0,0,1,0,0,0
51849,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51850,0,0,0,0,0,0,0,0,0,1,3,0,1,1
51855,1,1,0,0,0,0,0,0,1,0,0,0,0,0
51856,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51872,0,0,1,0,5,1,1,1,16,0,7,2,6,4
51874,0,0,0,0,4,0,0,0,0,0,0,0,0,1
51875,0,0,0,0,1,6,1,0,0,2,1,4,2,3
51878,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51886,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51891,0,0,0,0,0,0,0,0,0,0,0,1,0,0
51892,3,0,0,0,0,0,0,1,0,0,0,0,0,0
51893,2,3,0,0,0,1,2,1,0,0,0,2,0,0
52078,0,0,1,0,2,0,0,0,3,2,0,0,0,0
52134,0,1,2,0,0,0,0,0,1,1,0,0,1,1
52167,0,0,0,0,2,0,0,0,1,0,0,0,0,0
52168,0,0,0,0,2,0,0,0,1,0,2,1,1,0
52175,0,0,0,0,0,0,0,0,1,0,0,0,0,0
52218,0,0,0,0,0,0,0,0,2,0,0,0,0,0
52219,1,0,0,0,0,1,2,0,0,1,0,0,0,1
52220,0,0,0,0,0,0,0,0,0,0,0,1,0,1
52221,0,0,0,0,0,0,0,0,1,0,1,0,0,0
52230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52234,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52241,1,0,1,2,1,4,0,2,0,0,0,1,1,1
52242,1,6,0,0,0,0,11,0,0,0,0,5,0,0
52243,1,1,0,0,0,0,0,0,0,0,0,0,0,0
52246,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52248,2,1,0,1,1,0,2,1,0,0,2,3,0,0
52254,1,0,0,0,0,0,0,1,0,0,2,0,0,0
52256,2,0,0,3,1,8,1,3,0,1,0,16,0,1
52257,3,1,1,0,1,3,0,0,0,0,0,1,0,0
52258,0,0,1,0,0,0,0,0,0,1,0,2,0,0
52259,0,0,21,0,0,0,2,0,0,0,0,2,3,0
52260,6,0,0,0,0,0,2,3,0,0,0,4,0,5
52261,1,0,0,0,0,0,1,0,0,2,0,0,0,1
52533,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52534,1,0,0,0,0,1,0,0,0,0,2,0,1,1
52568,0,0,0,0,1,0,0,0,1,0,0,0,1,0
52569,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52573,5,2,20,0,16,10,1,5,52,3,49,14,25,6
52579,0,0,0,0,0,0,0,0,0,0,0,0,1,0
52583,0,0,0,0,0,0,0,0,0,0,0,1,0,0
52590,0,0,0,2,0,12,2,2,0,10,2,6,4,0
52594,4,2,0,9,1,4,0,9,1,2,0,3,4,3
52595,0,1,6,2,0,4,0,3,0,3,0,3,1,29
52599,0,0,0,0,3,0,0,0,0,1,0,0,0,0
52603,2,0,0,1,0,0,0,1,2,0,1,0,1,4
52605,5,0,0,0,0,1,0,1,0,2,0,3,0,0
52606,0,0,0,0,1,0,2,0,0,0,2,0,0,0
