population,income,averlight,places,b_diversity,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainment,finance,food,health,nightclub,office,other,public_use,recreation,religious,residential,restaurant_and_cafe,retail,service,transportation,b_price,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,b_opening_23,b_opening_count
91,82188,14,5,1.33,47,0,81,-117.639094,33.444766,la,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
175,82188,22,0,0.0,30,0,82,-117.633715,33.444793,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,104639,24,18,2.06,42,0,83,-117.628336,33.444821,la,0,1,1,0,2,0,1,0,3,4,0,0,0,0,0,1,2,3,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
176,104639,21,6,1.33,30,0,84,-117.622957,33.444848,la,0,0,2,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,2
190,100278,18,3,1.1,44,0,85,-117.617577,33.444875,la,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,0,2
503,47105,12,1,0.0,13,0,86,-117.612198,33.444901,la,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
659,126172,9,0,0.0,38,0,87,-117.606819,33.444928,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,126172,12,0,0.0,36,0,88,-117.60144,33.444954,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,126172,17,7,1.08,48,0,89,-117.59606,33.44498,la,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,126154,15,28,1.04,32,0,90,-117.590681,33.445006,la,0,0,0,0,0,1,1,0,2,20,0,0,0,0,0,2,2,0,0.0,0,0,0,0,0,0,0,2,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,5
15,126154,8,5,1.33,13,0,91,-117.585302,33.445031,la,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0.0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,1,1,0,0,0,0,0,3
217,0,3,1,0.0,9,0,92,-117.660646,33.449162,la,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,61010,6,5,1.33,47,0,93,-117.655266,33.449191,la,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
346,71573,9,13,1.18,48,0,94,-117.649887,33.449219,la,0,0,1,0,0,0,0,0,0,8,0,0,1,0,0,1,2,0,0.0,0,0,0,0,0,0,1,2,3,3,4,4,4,4,4,4,3,0,0,0,0,0,0,0,4
264,105938,12,6,1.01,45,0,95,-117.644507,33.449247,la,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,105938,15,6,0.64,44,0,96,-117.639128,33.449275,la,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,2,2,2,2,2,2,0,3
221,104931,18,2,0.69,47,0,97,-117.633748,33.449303,la,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1
196,104639,16,6,1.01,52,0,98,-117.628369,33.44933,la,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
