population,income,averlight,places,b_diversity,b_rating,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainm,finance,food,health,nightclub,office,other,public_use,recreation,religious,residentia,restaurant,retail,service,transporta,insta_like,b_price,b_opening_23,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,insta_0,insta_1,insta_10,insta_11,insta_12,insta_13,insta_14,insta_15,insta_16,insta_17,insta_18,insta_19,insta_2,insta_20,insta_21,insta_22,insta_23,insta_3,insta_4,insta_5,insta_6,insta_7,insta_8,insta_9
79,0,11,1,0,0,13,28,671,-117.763447,33.51625,la,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,4,0,0,3,2,2,1,1,2,1,2,1,2,0,0,0,0,0,0
102,76316,11,64,2.22,0,46,1267,672,-117.758064,33.516283,la,3,0,3,0,6,5,12,0,4,17,0,2,2,0,3,0,3,4,234,2.5,3,3,3,3,3,3,5,10,12,18,19,23,23,23,22,22,21,21,19,16,15,10,4,3,62,47,29,63,49,58,56,72,61,70,92,68,26,90,95,96,48,12,9,9,4,3,6,17
140,76316,6,15,1.41,0,24,255,673,-117.75268,33.516316,la,0,0,0,0,0,1,2,0,1,8,0,0,0,0,0,2,1,0,583,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3,3,3,3,3,2,2,0,0,11,8,18,9,8,8,12,11,13,12,12,11,2,13,11,12,12,0,2,0,0,1,0,1
97,136250,7,2,0,0,16,23,691,-117.655776,33.516862,la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1525,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,3,0,2,2,2,2,2,1,0,2,0,2,2,1,0,0,0,0,0,0,0
4,136250,6,3,0.64,0,24,7,693,-117.645008,33.516919,la,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0
4,152092,6,3,1.1,0,46,31,696,-117.628857,33.517001,la,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,3,1,0,1,4,3,1,3,0,3,2,1,0,0,0,1,0,1,0,0,0,0,3
82,0,7,3,0.64,0,2,90,719,-117.768871,33.520727,la,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,2,3,2,6,6,3,4,4,8,5,6,4,6,3,6,2,0,0,0,0,0,1
82,76316,11,23,1.87,0,38,355,720,-117.763487,33.52076,la,0,0,2,0,0,1,1,0,1,8,0,1,0,0,0,4,4,1,11,0,1,1,1,1,1,1,1,3,4,6,9,9,9,9,9,9,8,5,2,2,2,1,1,1,21,12,2,4,12,8,12,24,16,24,23,13,16,18,18,24,20,2,2,2,1,3,0,6
80,76316,8,40,1.17,0,26,20,721,-117.758103,33.520793,la,0,0,0,0,0,0,1,0,15,18,0,0,0,0,0,0,5,1,36,0,1,1,1,1,1,1,2,3,9,13,13,13,14,14,13,13,13,10,8,8,4,3,2,1,2,1,0,0,0,3,2,1,2,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0
579,64352,18,12,1.35,0,21,269,729,-117.715033,33.521047,la,0,1,0,0,1,1,0,0,1,7,0,0,0,0,0,0,1,0,24,0,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,22,10,4,19,6,13,14,10,13,12,13,11,11,13,17,17,26,6,2,1,0,0,0,4
277,164549,15,5,1.33,0,24,21,732,-117.698881,33.521138,la,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,2,0,696,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,0,3,1,0,1,1,1,0,2,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0
134,60548,22,14,1.38,0,38,8,737,-117.671961,33.521286,la,0,0,2,0,0,0,0,0,0,6,0,0,0,0,1,1,4,0,514,1.5,4,4,4,4,4,4,4,4,6,7,7,7,7,7,5,5,5,4,4,4,4,4,4,4,0,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
134,136250,19,8,1.08,0,37,20,738,-117.666577,33.521315,la,0,0,0,0,3,0,0,0,2,3,0,0,0,0,0,0,0,0,4825,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,4,0,2,0,0,0,1,1,0,2,1,1,0,0,2,3,1,0,0,0,0,0,0,0
