,Unnamed: 0,population,income,averlight,places,b_diversity,dev_intensity,insta_cnt,cell_id,lng,lat,msa,beauty,culture,education,entertainment,finance,food,health,nightclub,office,other,public_use,recreation,religious,residential,restaurant,retail,service,transportation,b_price,insta_like,insta_0,insta_1,insta_10,insta_11,insta_12,insta_13,insta_14,insta_15,insta_16,insta_17,insta_18,insta_19,insta_2,insta_20,insta_21,insta_22,insta_23,insta_3,insta_4,insta_5,insta_6,insta_7,insta_8,insta_9,b_opening_0,b_opening_1,b_opening_2,b_opening_3,b_opening_4,b_opening_5,b_opening_6,b_opening_7,b_opening_8,b_opening_9,b_opening_10,b_opening_11,b_opening_12,b_opening_13,b_opening_14,b_opening_15,b_opening_16,b_opening_17,b_opening_18,b_opening_19,b_opening_20,b_opening_21,b_opening_22,b_opening_23,b_opening_count,insta_advertising,insta_beverage,insta_car,insta_entertainment,insta_people,insta_fashion,insta_food,insta_interiors,insta_landscape,insta_monochrome,insta_nature,insta_portait,insta_sky,insta_sports
55758,55758,364,160345,18,7,1.28,24,0,58018,-105.049439,39.608176,denver,0,0,0,0,1,0,0,0,2,3,0,0,0,0,0,1,0,0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55759,55759,293,160345,19,3,0.0,23,0,58019,-105.043615,39.608178,denver,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55760,55760,100,133750,18,14,1.43,27,0,58020,-105.03779,39.60818,denver,0,0,0,0,1,1,1,0,3,7,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,3,3,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55761,55761,100,133750,15,2,0.69,15,0,58021,-105.031966,39.608182,denver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55762,55762,238,32356,25,10,1.83,24,53,58022,-105.026141,39.608184,denver,0,0,0,0,1,1,0,0,1,2,0,0,0,0,1,1,3,0,2.0,10755,2,0,1,4,3,1,4,0,1,2,3,2,0,10,1,7,5,1,0,0,0,1,4,1,0,0,0,0,0,0,0,1,2,5,5,5,5,5,5,5,5,2,2,2,2,1,0,0,7,0,0,1,0,0,7,0,2,1,1,23,4,2,1
55763,55763,368,59875,35,18,1.72,34,0,58023,-105.020317,39.608185,denver,0,0,0,0,3,0,0,0,3,3,0,0,1,0,0,0,4,4,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,7,7,7,6,6,6,6,6,2,1,1,1,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55764,55764,411,59875,22,7,0.68,33,0,58024,-105.014492,39.608186,denver,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55765,55765,384,40903,20,7,1.28,32,3,58025,-105.008668,39.608186,denver,0,0,1,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0.0,50,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,2,2,2,2,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
55766,55766,373,40903,18,5,1.33,13,30,58026,-105.002844,39.608186,denver,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0.0,921,0,1,0,0,5,2,0,9,2,0,5,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,0,3,1,0,1,1,3,2,0,1,3,2,4,2,2,0
55767,55767,447,40903,22,4,1.04,26,0,58027,-104.997019,39.608186,denver,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
